average_breath,average_breath_variation,average_heart_rate,average_hrv,awake_time,deep_sleep_duration,efficiency,got_ups,latency,light_sleep_duration,lowest_heart_rate,lowest_heart_rate_time_offset,rem_sleep_duration,restless_periods,score,sleep_midpoint,time_in_bed,total_sleep_duration,wake_ups,restless,bedtime_start_delta,bedtime_end_delta,contributors.total_sleep,contributors.deep_sleep,contributors.rem_sleep,contributors.efficiency,contributors.latency,contributors.restfulness,contributors.timing,readiness.contributors.activity_balance,readiness.contributors.body_temperature,readiness.contributors.hrv_balance,readiness.contributors.previous_day_activity,readiness.contributors.previous_night,readiness.contributors.recovery_index,readiness.contributors.resting_heart_rate,readiness.contributors.sleep_balance,readiness.score,readiness.temperature_deviation,readiness.temperature_trend_deviation,bedtime_end_seconds,bedtime_start_seconds,actual_day,prev_oura_score,bed_time
11.875,4.125,56.85,40.0,1350.0,9720.0,95.0,0.0,600.0,10530.0,48.0,11730.0,7560.0,24.0,9.3,14730.0,29160,27810.0,3.0,4.0,-7808,21352,88.0,100.0,97.0,100.0,86.0,91.0,100.0,83.0,100.0,65.0,,90.0,68.0,89.0,91.0,83.0,-0.06,-0.01,21352.0,78592.0,2023-01-13,8.9,21.961111111111112
12.25,4.75,57.31,38.0,7620.0,6390.0,79.0,0.0,720.0,14070.0,48.0,12690.0,7680.0,26.0,8.9,17190.0,35760,28140.0,7.0,4.0,-9030,26730,90.0,97.0,98.0,69.0,91.0,79.0,100.0,84.0,96.0,62.0,,79.0,32.0,89.0,88.0,76.0,0.11,0.05,26730.0,77370.0,2023-01-14,9.3,21.566666666666666
12.25,4.5,58.36,45.0,4620.0,8910.0,86.0,0.0,480.0,12330.0,50.0,5970.0,7320.0,25.0,9.0,16860.0,33180,28560.0,7.0,4.0,-7923,25257,91.0,100.0,97.0,86.0,81.0,79.0,100.0,84.0,100.0,64.0,,82.0,68.0,71.0,85.0,77.0,0.01,0.25,25257.0,78477.0,2023-01-16,9.2,21.94166666666667
12.125,4.625,56.89,36.0,6090.0,5550.0,83.0,0.0,1140.0,14880.0,50.0,9930.0,9780.0,28.0,9.3,18270.0,36300,30210.0,5.0,4.0,-10519,25781,96.0,96.0,100.0,79.0,89.0,84.0,100.0,83.0,85.0,61.0,,89.0,100.0,71.0,86.0,81.0,0.23,0.23,25781.0,75881.0,2023-01-17,9.0,21.180555555555554
11.625,4.25,63.06,40.0,5910.0,7140.0,83.0,0.0,1020.0,13320.0,49.0,23250.0,8250.0,26.0,9.1,18630.0,34620,28710.0,6.0,4.0,-7906,26714,92.0,98.0,99.0,79.0,94.0,81.0,100.0,84.0,99.0,63.0,,84.0,16.0,80.0,85.0,73.0,-0.17,0.07,26714.0,78494.0,2023-01-18,9.3,21.83888888888889
11.75,4.25,56.61,35.0,5430.0,5160.0,83.0,0.0,480.0,14640.0,49.0,11010.0,6090.0,27.0,8.8,15360.0,31320,25890.0,4.0,5.0,-9982,21338,85.0,96.0,95.0,79.0,81.0,86.0,100.0,85.0,99.0,60.0,,77.0,89.0,80.0,79.0,77.0,-0.16,-0.02,21338.0,76418.0,2023-01-19,9.1,21.32222222222222
12.375,4.5,58.5,37.0,6570.0,7860.0,80.0,0.0,1560.0,11340.0,52.0,14610.0,6510.0,27.0,8.5,15600.0,32280,25710.0,6.0,5.0,-10950,21330,84.0,99.0,96.0,72.0,70.0,79.0,100.0,85.0,100.0,60.0,,70.0,100.0,54.0,74.0,72.0,-0.12,-0.06,21330.0,75450.0,2023-01-20,8.8,21.03333333333333
11.875,4.625,57.27,36.0,6990.0,7020.0,82.0,0.0,1110.0,17130.0,48.0,15570.0,7560.0,30.0,9.3,19350.0,38700,31710.0,5.0,4.0,-10754,27946,99.0,98.0,98.0,76.0,89.0,83.0,100.0,84.0,100.0,58.0,,90.0,33.0,90.0,79.0,75.0,-0.04,-0.01,27946.0,75646.0,2023-01-21,8.5,21.127777777777776
11.625,4.75,57.53,38.0,6090.0,7620.0,83.0,0.0,1320.0,13260.0,47.0,15570.0,8250.0,31.0,9.1,18180.0,35220,29130.0,7.0,5.0,-10213,25007,96.0,99.0,99.0,79.0,81.0,74.0,100.0,86.0,97.0,59.0,,85.0,50.0,98.0,79.0,77.0,0.09,0.08,25007.0,76187.0,2023-01-22,9.3,21.280555555555555
12.0,4.375,55.07,42.0,5700.0,6420.0,84.0,0.0,690.0,14610.0,48.0,20370.0,8250.0,30.0,9.3,17010.0,34980,29280.0,5.0,5.0,-10226,24754,96.0,97.0,99.0,81.0,91.0,82.0,100.0,87.0,97.0,63.0,,90.0,63.0,90.0,79.0,79.0,0.1,0.15,24754.0,76174.0,2023-01-23,9.1,21.244444444444444
12.0,4.125,53.63,47.0,3840.0,4920.0,89.0,0.0,780.0,16680.0,47.0,15570.0,8040.0,26.0,9.5,17370.0,33480,29640.0,4.0,4.0,-11018,22462,97.0,96.0,98.0,93.0,94.0,88.0,100.0,88.0,100.0,71.0,,95.0,79.0,98.0,81.0,85.0,-0.1,0.1,22462.0,75382.0,2023-01-24,9.3,20.994444444444444
11.625,4.5,52.08,53.0,5880.0,7680.0,83.0,0.0,1110.0,11820.0,47.0,2130.0,9300.0,23.0,9.4,17760.0,34680,28800.0,2.0,4.0,-8888,25792,96.0,99.0,100.0,79.0,89.0,94.0,100.0,87.0,96.0,81.0,,92.0,100.0,98.0,81.0,88.0,-0.27,-0.04,25792.0,77512.0,2023-01-25,9.5,21.66111111111111
11.75,4.5,57.23,46.0,6480.0,6450.0,82.0,0.0,1800.0,17340.0,46.0,22290.0,6450.0,29.0,8.9,19140.0,36720,30240.0,6.0,4.0,-12101,24619,97.0,98.0,96.0,76.0,59.0,80.0,100.0,86.0,91.0,85.0,,79.0,47.0,100.0,83.0,82.0,0.16,0.01,24619.0,74299.0,2023-01-26,9.4,20.68611111111111
11.75,4.625,57.36,39.0,5610.0,6990.0,83.0,0.0,1200.0,14400.0,52.0,6930.0,6420.0,26.0,9.2,16650.0,33420,27810.0,2.0,4.0,-8898,24522,93.0,98.0,96.0,79.0,86.0,94.0,100.0,87.0,96.0,83.0,,87.0,100.0,54.0,81.0,81.0,0.1,0.13,24522.0,77502.0,2023-01-27,8.9,21.633333333333333
