,date,Total Sleep Duration,Sleep Score,Awake Time,Sleep Latency,Bedtime Start,Bedtime End,Average Resting Heart Rate,Readiness Score,index
66,2022-09-02,28080,80,1920,150,2022-09-01T23:43:00+02:00,2022-09-02T08:03:00+02:00,56.66,87,66
67,2022-09-04,30270,81,2850,150,2022-09-03T22:50:49+02:00,2022-09-04T08:02:49+02:00,52.26,92,67
68,2022-09-05,18990,64,750,300,2022-09-05T01:25:21+02:00,2022-09-05T06:54:21+02:00,71.46,54,68
69,2022-09-06,29100,90,1380,990,2022-09-05T22:09:40+02:00,2022-09-06T06:37:40+02:00,58.15,88,69
70,2022-09-07,29370,83,4110,930,2022-09-06T22:04:45+02:00,2022-09-07T07:22:45+02:00,53.79,91,70
71,2022-09-08,25140,82,1380,990,2022-09-07T23:25:36+02:00,2022-09-08T06:47:36+02:00,58.37,85,71
72,2022-09-09,29370,86,1830,180,2022-09-08T22:06:09+02:00,2022-09-09T06:46:09+02:00,52.1,92,72
73,2022-09-10,30720,91,2880,810,2022-09-09T22:21:47+02:00,2022-09-10T07:41:47+02:00,53.3,94,73
74,2022-09-11,29010,80,3990,600,2022-09-10T22:51:33+02:00,2022-09-11T08:01:33+02:00,52.81,92,74
75,2022-09-12,29640,87,1440,150,2022-09-11T22:07:14+02:00,2022-09-12T06:45:14+02:00,55.18,95,75
76,2022-09-13,24090,65,3570,2520,2022-09-12T22:57:24+02:00,2022-09-13T06:38:24+02:00,54.04,79,76
77,2022-09-14,27270,79,1230,360,2022-09-13T23:59:44+02:00,2022-09-14T07:54:44+02:00,62.28,78,77
78,2022-09-15,28440,82,3180,870,2022-09-14T22:55:03+02:00,2022-09-15T07:42:03+02:00,56.73,90,78
79,2022-09-16,28200,86,1860,420,2022-09-15T22:26:43+02:00,2022-09-16T06:47:43+02:00,53.06,92,79
80,2022-09-17,27210,79,2250,720,2022-09-16T23:45:46+02:00,2022-09-17T07:56:46+02:00,57.29,84,80
81,2022-09-18,28710,85,3990,840,2022-09-17T22:19:36+02:00,2022-09-18T07:24:36+02:00,54.93,91,81
82,2022-09-19,28050,88,2490,720,2022-09-18T22:18:26+02:00,2022-09-19T06:47:26+02:00,54.37,91,82
83,2022-09-20,28590,84,4050,750,2022-09-19T22:31:59+02:00,2022-09-20T07:35:59+02:00,50.99,91,83
84,2022-09-21,29310,86,2670,780,2022-09-20T22:12:18+02:00,2022-09-21T07:05:18+02:00,55.75,92,84
85,2022-09-22,30000,82,1860,150,2022-09-21T22:29:31+02:00,2022-09-22T07:20:31+02:00,56.43,91,85
86,2022-09-23,25410,79,3090,270,2022-09-23T00:01:46+02:00,2022-09-23T07:56:46+02:00,55.86,84,86
87,2022-09-24,24300,68,2280,390,2022-09-24T00:54:01+02:00,2022-09-24T08:17:01+02:00,56.17,77,87
88,2022-09-25,30540,90,2640,720,2022-09-24T22:05:09+02:00,2022-09-25T07:18:09+02:00,53.29,91,88
89,2022-09-26,26940,85,2400,1080,2022-09-25T22:46:02+02:00,2022-09-26T06:55:02+02:00,58.08,88,89
90,2022-09-27,31500,91,3060,420,2022-09-26T21:40:37+02:00,2022-09-27T07:16:37+02:00,56.55,92,90
91,2022-09-28,29010,84,2430,480,2022-09-27T22:20:06+02:00,2022-09-28T07:04:06+02:00,56.44,90,91
92,2022-09-29,31290,89,1830,360,2022-09-28T22:13:48+02:00,2022-09-29T07:25:48+02:00,59.41,90,92
93,2022-09-30,31110,86,3690,1350,2022-09-29T21:43:27+02:00,2022-09-30T07:23:27+02:00,57.47,89,93
94,2022-10-01,25980,75,3600,240,2022-09-30T23:21:54+02:00,2022-10-01T07:34:54+02:00,59.62,83,94
95,2022-10-02,28920,79,4140,1290,2022-10-01T22:43:22+02:00,2022-10-02T07:54:22+02:00,54.81,89,95
96,2022-10-03,28830,83,1770,480,2022-10-02T22:36:31+02:00,2022-10-03T07:06:31+02:00,58.35,85,96
97,2022-10-04,31680,91,1260,240,2022-10-03T21:36:13+02:00,2022-10-04T06:45:13+02:00,60.52,85,97
98,2022-10-05,32610,92,2190,720,2022-10-04T21:57:21+02:00,2022-10-05T07:37:21+02:00,58.27,93,98
99,2022-10-06,29220,83,2940,1830,2022-10-05T22:26:57+02:00,2022-10-06T07:22:57+02:00,58.66,89,99
100,2022-10-07,26700,78,3420,1500,2022-10-06T23:08:50+02:00,2022-10-07T07:30:50+02:00,56.71,86,100
101,2022-10-08,29160,79,3660,1050,2022-10-07T23:10:41+02:00,2022-10-08T08:17:41+02:00,56.55,90,101
102,2022-10-10,30360,84,4020,390,2022-10-09T22:29:11+02:00,2022-10-10T08:02:11+02:00,58.5,87,102
103,2022-10-11,27270,75,4530,1860,2022-10-10T22:45:26+02:00,2022-10-11T07:35:26+02:00,58.44,82,103
104,2022-10-12,30330,89,2970,630,2022-10-11T22:14:30+02:00,2022-10-12T07:29:30+02:00,58.71,94,104
105,2022-10-13,30150,85,2070,240,2022-10-12T22:47:25+02:00,2022-10-13T07:44:25+02:00,60.43,89,105
106,2022-10-14,27360,82,5820,1110,2022-10-13T22:28:55+02:00,2022-10-14T07:41:55+02:00,56.46,88,106
107,2022-10-15,26130,80,3090,510,2022-10-15T00:05:37+02:00,2022-10-15T08:12:37+02:00,58.28,83,107
108,2022-10-16,20340,61,1260,180,2022-10-16T03:56:47+02:00,2022-10-16T09:56:47+02:00,70.17,52,108
109,2022-10-17,31410,89,3390,750,2022-10-16T22:12:04+02:00,2022-10-17T07:52:04+02:00,57.85,87,109
110,2022-10-18,27660,78,3480,690,2022-10-17T23:15:22+02:00,2022-10-18T07:54:22+02:00,55.86,81,110
111,2022-10-19,28200,80,3240,150,2022-10-18T23:32:15+02:00,2022-10-19T08:16:15+02:00,56.96,84,111
112,2022-10-20,29550,86,3750,750,2022-10-19T22:26:01+02:00,2022-10-20T07:41:01+02:00,57.48,88,112
113,2022-10-21,28260,81,4560,1590,2022-10-20T22:18:49+02:00,2022-10-21T07:25:49+02:00,51.45,88,113
114,2022-10-22,28440,81,2460,330,2022-10-21T22:48:39+02:00,2022-10-22T07:23:39+02:00,55.53,88,114
115,2022-10-23,29820,85,1560,240,2022-10-22T22:56:58+02:00,2022-10-23T07:39:58+02:00,56.38,88,115
116,2022-10-24,25050,79,3450,1080,2022-10-23T23:53:59+02:00,2022-10-24T07:48:59+02:00,54.47,86,116
117,2022-10-25,29940,87,2040,570,2022-10-24T22:49:01+02:00,2022-10-25T07:42:01+02:00,56.3,91,117
118,2022-10-26,27420,81,2340,990,2022-10-25T23:40:06+02:00,2022-10-26T07:56:06+02:00,58.57,85,118
119,2022-10-27,31440,88,2280,270,2022-10-26T22:39:08+02:00,2022-10-27T08:01:08+02:00,59.5,83,119
120,2022-10-28,26760,72,3900,420,2022-10-27T23:38:09+02:00,2022-10-28T08:09:09+02:00,57.88,79,120
121,2022-10-29,28650,80,4050,390,2022-10-28T23:08:39+02:00,2022-10-29T08:13:39+02:00,61.85,79,121
122,2022-10-30,24630,72,1710,0,2022-10-29T23:50:37+01:00,2022-10-30T07:09:37+01:00,66.44,64,122
123,2022-10-31,34260,93,2880,690,2022-10-30T21:09:36+01:00,2022-10-31T07:28:36+01:00,58.55,87,123
124,2022-11-01,29250,84,3870,210,2022-10-31T21:36:04+01:00,2022-11-01T06:48:04+01:00,52.76,87,124
125,2022-11-02,29010,80,3030,120,2022-11-01T23:07:06+01:00,2022-11-02T08:01:06+01:00,60.18,84,125
126,2022-11-03,31320,90,2940,240,2022-11-02T22:32:38+01:00,2022-11-03T08:03:38+01:00,60.19,89,126
127,2022-11-04,27450,79,2490,690,2022-11-03T23:34:35+01:00,2022-11-04T07:53:35+01:00,60.56,75,127
128,2022-11-05,31440,86,2280,270,2022-11-04T23:01:20+01:00,2022-11-05T08:23:20+01:00,59.7,86,128
129,2022-11-06,26700,75,2340,390,2022-11-06T00:43:21+01:00,2022-11-06T08:47:21+01:00,59.98,81,129
130,2022-11-07,29400,88,2460,750,2022-11-06T22:52:32+01:00,2022-11-07T07:43:32+01:00,57.99,90,130
131,2022-11-08,22800,68,2760,0,2022-11-08T00:39:25+01:00,2022-11-08T07:45:25+01:00,62.1,69,131
132,2022-11-09,30270,87,2730,600,2022-11-08T22:35:33+01:00,2022-11-09T07:45:33+01:00,60.13,81,132
133,2022-11-10,29370,84,3210,570,2022-11-09T22:31:53+01:00,2022-11-10T07:34:53+01:00,62.64,78,133
134,2022-11-14,23310,68,3510,420,2022-11-14T01:13:31+01:00,2022-11-14T08:40:31+01:00,57.29,78,134
135,2022-11-15,27330,81,3090,480,2022-11-14T23:39:49+01:00,2022-11-15T08:06:49+01:00,55.67,93,135
136,2022-11-16,29460,86,3480,960,2022-11-15T23:12:18+01:00,2022-11-16T08:21:18+01:00,57.62,85,136
137,2022-11-17,20580,63,2040,300,2022-11-17T02:28:52+01:00,2022-11-17T08:45:52+01:00,63.72,54,137
138,2022-11-18,30870,82,2610,180,2022-11-17T23:43:40+01:00,2022-11-18T09:01:40+01:00,55.93,82,138
139,2022-11-19,23760,67,3180,240,2022-11-19T01:09:09+01:00,2022-11-19T08:38:09+01:00,60.12,58,139
